active_product,category_id,category_name,current_stock,currently_active_vendor,price,product_num,profit_margin,subcategory_id,subcategory_name,vendor
True,PLE,Electronics,59,False,53.86,19813B4C1428,0.3339232735202144,PLEEA,Earphones,SOPAJ
True,PLE,Electronics,79,False,74.47,9D39F7E3191B,0.3339232735202144,PLEEA,Earphones,SOPAJ
False,PLE,Electronics,61,False,69.87,D1AB0CC7913A,0.3339232735202144,PLEEA,Earphones,SOPAJ
True,PLE,Electronics,41,False,125.16,5D98D4F56951,0.3539232735202144,PLESP,Smartphones,SOPAJ
True,PLE,Electronics,9,False,696.8,2D31003DCCCA,0.3539232735202144,PLESP,Smartphones,SOPAJ
True,PLE,Electronics,19,False,47.55,07339B8A0D9D,0.1839232735202144,PLEPO,Power Banks,SOPAJ
False,PLE,Electronics,38,False,44.45,E92955CA6FB1,0.1839232735202144,PLEPO,Power Banks,SOPAJ
True,PLE,Electronics,10,False,46.23,CB20DA9C8355,0.1839232735202144,PLEPO,Power Banks,SOPAJ
True,PLE,Electronics,19,False,60.68,7E5C17864F55,0.1839232735202144,PLEPO,Power Banks,SOPAJ
False,PLE,Electronics,94,False,66.3,B04B0CB40797,0.1839232735202144,PLEPO,Power Banks,SOPAJ
True,PLE,Electronics,34,False,337.38,3C7D36DBFC58,0.7671309956369039,PLELA,Laptops,SOPAJ
False,PLE,Electronics,22,False,389.19,6E56119B332D,0.7671309956369039,PLELA,Laptops,SOPAJ
True,PLE,Electronics,5,False,623.11,57DA0C5D3AF0,0.7671309956369039,PLELA,Laptops,SOPAJ
True,PLE,Electronics,5,False,530.86,00849D0CFBB8,0.7671309956369039,PLELA,Laptops,SOPAJ
False,PLE,Electronics,28,False,437.85,959E0E0C09B9,0.7671309956369039,PLELA,Laptops,SOPAJ
False,PLE,Electronics,21,False,487.86,681CBB78590D,0.7671309956369039,PLELA,Laptops,SOPAJ
True,PLE,Electronics,28,False,489.58,9D5C5756091F,0.7671309956369039,PLELA,Laptops,SOPAJ
True,PLE,Electronics,17,False,588.03,A520F84B63EB,0.7671309956369039,PLELA,Laptops,SOPAJ
True,PLE,Electronics,6,False,803.49,CF63C4EFFAF2,0.7671309956369039,PLELA,Laptops,SOPAJ
True,PLE,Electronics,33,False,128.74,600467689A74,0.7871309956369039,PLEBL,Bluetooth Speakers,SOPAJ
True,PLE,Electronics,30,False,252.91,C3705C1A2B3D,0.7871309956369039,PLEBL,Bluetooth Speakers,SOPAJ
True,PLE,Electronics,18,False,186.33,6939CA5DADC9,0.7871309956369039,PLEBL,Bluetooth Speakers,SOPAJ
True,PLE,Electronics,33,False,194.02,10F94644C04F,0.7871309956369039,PLEBL,Bluetooth Speakers,SOPAJ
False,PLE,Electronics,18,False,219.68,00F3B7C7BC1D,0.7871309956369039,PLEBL,Bluetooth Speakers,SOPAJ
False,PLE,Electronics,45,False,246.83,49D4B7D33E45,0.7871309956369039,PLEBL,Bluetooth Speakers,SOPAJ
True,PLE,Electronics,38,False,13.97,2B5EFB4A6E73,0.3139232735202144,PLECH,Chargers,SOPAJ
False,PLE,Electronics,165,False,8.33,9864639B0F9B,0.3139232735202144,PLECH,Chargers,SOPAJ
True,PLE,Electronics,54,False,43.49,C5BB07202902,0.3139232735202144,PLECH,Chargers,SOPAJ
True,PLE,Electronics,57,False,93.89,00957B0ECF61,0.3139232735202144,PLECH,Chargers,SOPAJ
False,PSO,Sports & Outdoors,92,False,36.37,9D8A8CAE6941,0.2739232735202144,PSOEX,Exercise & Fitness,SOPAJ
False,PSO,Sports & Outdoors,188,False,16.27,C5D50DFB29F0,0.2739232735202144,PSOEX,Exercise & Fitness,SOPAJ
False,PSO,Sports & Outdoors,74,False,19.66,0C1F76DB29F1,0.2739232735202144,PSOEX,Exercise & Fitness,SOPAJ
False,PSO,Sports & Outdoors,37,False,22.14,8B33DBAEAF71,0.2739232735202144,PSOEX,Exercise & Fitness,SOPAJ
False,PSO,Sports & Outdoors,62,False,24.57,1F9F0EA7D7EB,0.2739232735202144,PSOEX,Exercise & Fitness,SOPAJ
False,PSO,Sports & Outdoors,79,False,26.69,145F8CCFA0C4,0.2739232735202144,PSOEX,Exercise & Fitness,SOPAJ
False,PSO,Sports & Outdoors,21,False,33.71,4ED7DE976AE3,0.2739232735202144,PSOEX,Exercise & Fitness,SOPAJ
False,PSO,Sports & Outdoors,78,False,34.07,48A345C3130A,0.2739232735202144,PSOEX,Exercise & Fitness,SOPAJ
False,PSO,Sports & Outdoors,56,False,40.45,42EB15E00BFE,0.2739232735202144,PSOEX,Exercise & Fitness,SOPAJ
False,PSO,Sports & Outdoors,89,False,47.42,6A08A35CD6CC,0.2739232735202144,PSOEX,Exercise & Fitness,SOPAJ
False,PSO,Sports & Outdoors,86,False,51.75,A08C5E0A7ACB,0.2739232735202144,PSOEX,Exercise & Fitness,SOPAJ
False,PSO,Sports & Outdoors,7,False,164.51,349EE7B8EA7A,0.2739232735202144,PSOEX,Exercise & Fitness,SOPAJ
False,PSO,Sports & Outdoors,84,False,71.65,830E73839067,0.2739232735202144,PSOEX,Exercise & Fitness,SOPAJ
False,PSO,Sports & Outdoors,17,False,159.29,F0E6D987AB09,0.2739232735202144,PSOEX,Exercise & Fitness,SOPAJ
False,PSO,Sports & Outdoors,28,False,86.67,CE784B639A7A,0.2739232735202144,PSOEX,Exercise & Fitness,SOPAJ
False,PSO,Sports & Outdoors,36,False,103.46,B7DB123863C8,0.2739232735202144,PSOEX,Exercise & Fitness,SOPAJ
False,PSO,Sports & Outdoors,38,False,239.01,28E9FF201778,0.2739232735202144,PSOEX,Exercise & Fitness,SOPAJ
