category_name,category_id,subcategory_name,subcategory_id,vendor,currently_active_vendor,product_num,price,pct_profit_margin,active_product,current_stock
Beauty,PBE,Skincare,PBESK,ROPIK,false,1D49A24C01DF,$7.9,76.713100,false,26
Beauty,PBE,Skincare,PBESK,ROPIK,false,C2B16671E082,14.44,76.713100,true,127
Beauty,PBE,Skincare,PBESK,ROPIK,false,6B7566317EB7,22.78,76.713100,false,80
Beauty,PBE,Skincare,PBESK,ROPIK,false,37A3483E3875,$33.1,76.713100,false,38
Beauty,PBE,Skincare,PBESK,ROPIK,false,D4F6E02F5D94,56.59,76.713100,false,89
Beauty,PBE,Skincare,PBESK,ROPIK,false,DB1EB8F09C4F,56.96,76.713100,false,43
Beauty,PBE,Fragrances,PBEFR,ROPIK,false,2E3E6EE8833D,68.55,32.392327,false,35
Beauty,PBE,Fragrances,PBEFR,ROPIK,false,AECA2FF2836C,$79.68,32.392327,false,62
Beauty,PBE,Fragrances,PBEFR,ROPIK,false,4C1E3FBBB97A,47.84,32.392327,false,56
Beauty,PBE,Fragrances,PBEFR,ROPIK,false,7A296320A898,35.12,32.392327,false,60
Beauty,PBE,Fragrances,PBEFR,ROPIK,false,6B6BF5196A78,37.78,32.392327,false,74
Beauty,PBE,Fragrances,PBEFR,ROPIK,false,A26176B6E482,$118.16,32.392327,false,43
Beauty,PBE,Fragrances,PBEFR,ROPIK,false,5C6280653560,78.43,32.392327,false,80
Beauty,PBE,Fragrances,PBEFR,ROPIK,false,D66B1B855A75,100.0,32.392327,false,97
Beauty,PBE,Hair care,PBEHA,ROPIK,false,CEB59523CF68,$6.02,20.392327,false,60
Beauty,PBE,Hair care,PBEHA,ROPIK,false,465CE7C250DD,$36.21,20.392327%,true,64
Beauty,PBE,Hair care,PBEHA,ROPIK,false,A9AFF17CD18C,10.04,20.392327%,false,33
Beauty,PBE,Hair care,PBEHA,ROPIK,false,28988E3203A0,20.4,20.392327,false,74
Beauty,PBE,Hair care,PBEHA,ROPIK,false,2F7F6ACA0C3D,$15.51,20.392327%,false,75
Beauty,PBE,Hair care,PBEHA,ROPIK,false,B6149B451BBA,14.51,20.392327%,false,184
Beauty,PBE,Hair care,PBEHA,ROPIK,false,3514CB80DD59,$16.13,20.392327,false,103
Beauty,PBE,Hair care,PBEHA,ROPIK,false,4D2446E29EFA,16.34,20.392327%,false,21
Beauty,PBE,Hair care,PBEHA,ROPIK,false,786ABED746B6,20.29,20.392327,false,67
Beauty,PBE,Hair care,PBEHA,ROPIK,false,51DC940BD533,22.79,20.392327,false,35
Beauty,PBE,Hair care,PBEHA,ROPIK,false,6964E95D7C82,27.53,20.392327,false,58
Beauty,PBE,Hair care,PBEHA,ROPIK,false,CCAF517B8ECA,34.05,20.392327,false,65
Home & Kitchen,PHK,Cookware,PHKCO,ROPIK,false,400A3CC47B6F,19.88,72.713100%,false,136
Home & Kitchen,PHK,Cookware,PHKCO,ROPIK,false,997C29DB9889,$28.46,72.713100%,true,42
Home & Kitchen,PHK,Cookware,PHKCO,ROPIK,false,B598928C23FA,300.75,72.713100,true,14
Home & Kitchen,PHK,Cookware,PHKCO,ROPIK,false,A3C42DDF62CC,$44.52,72.713100%,false,13
Home & Kitchen,PHK,Cookware,PHKCO,ROPIK,false,C76E6DCD348A,45.19,72.713100%,false,27
Home & Kitchen,PHK,Cookware,PHKCO,ROPIK,false,2CCD68D80EC5,262.16,72.713100,true,24
Home & Kitchen,PHK,Cookware,PHKCO,ROPIK,false,CC033199C2E9,51.18,72.713100,false,69
Home & Kitchen,PHK,Cookware,PHKCO,ROPIK,false,EFD287B0EA78,52.04,72.713100%,true,14
Home & Kitchen,PHK,Cookware,PHKCO,ROPIK,false,20356CACFFF6,63.68,72.713100,false,65
Home & Kitchen,PHK,Cookware,PHKCO,ROPIK,false,006C0CD604C4,68.0,72.713100%,false,15
Home & Kitchen,PHK,Cookware,PHKCO,ROPIK,false,9243870D767B,77.68,72.713100%,false,71
Home & Kitchen,PHK,Cookware,PHKCO,ROPIK,false,103060F70F4A,98.7,72.713100,false,49
Home & Kitchen,PHK,Cookware,PHKCO,ROPIK,false,6D9DF0116FBE,122.05,72.713100%,false,13
Home & Kitchen,PHK,Cookware,PHKCO,ROPIK,false,3885B40E196C,143.05,72.713100,true,8
Home & Kitchen,PHK,Cookware,PHKCO,ROPIK,false,8608B06B3590,160.54,72.713100,false,35
Home & Kitchen,PHK,Small Appliances,PHKSM,ROPIK,false,00B8ED23A930,$22.2,24.392327,false,52
Home & Kitchen,PHK,Small Appliances,PHKSM,ROPIK,false,CC78919EC7B6,109.2,24.392327,true,10
Home & Kitchen,PHK,Small Appliances,PHKSM,ROPIK,false,64FDA386FC94,$24.02,24.392327,true,60
Home & Kitchen,PHK,Small Appliances,PHKSM,ROPIK,false,BD649BCA41E6,$97.79,24.392327,true,49
Home & Kitchen,PHK,Bedding,PHKBE,ROPIK,false,232136E028E2,41.43,21.392327,false,15
