category_name,category_id,subcategory_name,subcategory_id,vendor,currently_active_vendor,product_num,price,profit_margin,active_product,current_stock
Home & Kitchen,PHK,Cookware,PHKCO,EYMKE,Y,997C29DB9889,70.52,0.7271309956369039,Y,85
Home & Kitchen,PHK,Cookware,PHKCO,EYMKE,Y,B598928C23FA,34.02,0.7271309956369039,Y,48
Home & Kitchen,PHK,Cookware,PHKCO,EYMKE,Y,2CCD68D80EC5,47.53,0.7271309956369039,Y,38
Home & Kitchen,PHK,Cookware,PHKCO,EYMKE,Y,EFD287B0EA78,109.16,0.7271309956369039,Y,25
Home & Kitchen,PHK,Cookware,PHKCO,EYMKE,Y,3885B40E196C,170.85,0.7271309956369039,Y,17
Home & Kitchen,PHK,Small Appliances,PHKSM,EYMKE,Y,CC78919EC7B6,22.49,0.2439232735202144,Y,73
Home & Kitchen,PHK,Small Appliances,PHKSM,EYMKE,Y,64FDA386FC94,42.78,0.2439232735202144,Y,21
Home & Kitchen,PHK,Small Appliances,PHKSM,EYMKE,Y,BD649BCA41E6,110.94,0.2439232735202144,Y,25
Home & Kitchen,PHK,Bedding,PHKBE,EYMKE,Y,3D79C6F32C56,48.19,0.2139232735202144,Y,54
Home & Kitchen,PHK,Bedding,PHKBE,EYMKE,Y,8CFBDCD5F3B4,61.55,0.2139232735202144,Y,66
Home & Kitchen,PHK,Furniture,PHKFU,EYMKE,Y,E0217B16D153,115.07,0.2139232735202144,Y,16
Home & Kitchen,PHK,Furniture,PHKFU,EYMKE,Y,54D147021DD3,153.63,0.2139232735202144,Y,47
Home & Kitchen,PHK,Furniture,PHKFU,EYMKE,Y,2A8796BF010E,114.61,0.2139232735202144,Y,48
Home & Kitchen,PHK,Furniture,PHKFU,EYMKE,Y,BFFD32044D6B,715.03,0.2139232735202144,Y,11
Home & Kitchen,PHK,Furniture,PHKFU,EYMKE,Y,B64A71AEBD04,638.89,0.2139232735202144,Y,16
Home & Kitchen,PHK,Home Decor,PHKHO,EYMKE,Y,410336DEE02C,78.33,0.2239232735202144,Y,28
Home & Kitchen,PHK,Home Decor,PHKHO,EYMKE,Y,56095A38B35F,133.62,0.2239232735202144,Y,10
Home & Kitchen,PHK,Home Decor,PHKHO,EYMKE,Y,B91280A5E270,93.3,0.2239232735202144,Y,67
Home & Kitchen,PHK,Home Decor,PHKHO,EYMKE,Y,8AE4EA8AC3F7,63.97,0.2239232735202144,Y,13
Home & Kitchen,PHK,Home Decor,PHKHO,EYMKE,Y,604F31A7AE51,112.17,0.2239232735202144,Y,8
Home & Kitchen,PHK,Home Decor,PHKHO,EYMKE,Y,79ACA0493D02,76.37,0.2239232735202144,Y,31
Home & Kitchen,PHK,Home Decor,PHKHO,EYMKE,Y,A03D8CAB84D5,121.92,0.2239232735202144,Y,23
Home & Kitchen,PHK,Cleaning Supplies,PHKCL,EYMKE,Y,4E5EEE0258A1,6.05,0.0539232735202144,Y,178
Home & Kitchen,PHK,Cleaning Supplies,PHKCL,EYMKE,Y,00F041777A1E,7.16,0.0539232735202144,Y,192
